nome,site,email,telefone,estado,cidade,origem
,construtorabauhaus.com.br,,71 4111-2333,BA,,base_original
Empresa,coinpe.com.br,atendimento@coinpe.com.br,75 3281-3645,BA,,base_original
Empresa,barcinoesteve.com.br,contato@barcinoesteve.com.br,71 3243-0913,BA,,base_original
Empresa,celi.com.br,relacionamento@celi.com.br,79 3216-5000,BA,,base_original
Empresa,espacor2.com.br,hugo.planejamento@espacor2.com.br,71 3336-2286,BA,,base_original
Empresa,construtorafarol.com.br,farol.construcao@gmail.com,71 3367-9949,BA,,base_original
,cflconstrutora.com.br,,71 3507-2555,BA,,base_original
Empresa,construtoramodulo.com.br,contato@construtoramodulo.com.br,71 3450-3674,BA,,base_original
,construtoralink.com.br,,71 3344-2005,BA,,base_original
Empresa,construtoranm.com.br,cnm@construtoranm.com.br,71 3306-7131,BA,,base_original
,construtoraouteiro.com.br,,73 3288-1545,BA,,base_original
Empresa,construtorapablo.com.br,construtorapablo@construtorapablo.com.br,71 3245-8488,BA,,base_original
,costaandrade.com.br,,71 3355-6666,BA,,base_original
Empresa,cplconstrutora.com.br,contato@cplconstrutora.com.br,71 3082-3082,BA,,base_original
Empresa,ctlssa.com.br,ctl-ssa@uol.com.br,71 3362-3393,BA,,base_original
Empresa,dipawa.com.br,dipawa@dipawa.com.br,71 3594-2250,BA,,base_original
Empresa,falcaoconstrutora.com.br,falcao@falcaoconstrutora.com.br,71 3328-4444,BA,,base_original
Empresa,mfpconstrutora.com.br,selecao@mfpconstrutora.com.br,,BA,,base_original
,mvsconstrutora.com.br,,71 3272-2377,BA,,base_original
,http://www.acopi.com.br/,,(85) 3251-1414,CE,,base_original
,http://www.bm.eng.br/,,(85) 3264-9272,CE,,base_original
,http://www.carneirodemelo.com.br/,,(85) 4008-6969,CE,,base_original
,http://www.atticaconstrutora.com.br/,,,CE,,base_original
,http://www.coigma.com.br/,,(85) 3224-4576,CE,,base_original
Empresa,http://www.colmeia.com.br/,receber@colmeia.com.br,(85) 3288-6600,CE,,base_original
Empresa,http://www.construtoradube.com.br/,atendimento@construtoradube.com.br,(85) 3260-4006,CE,,base_original
Empresa,http://www.exataconstrutora.com.br/,exata@exataconstrutora.com.br,(85) 3077-7800,CE,,base_original
Empresa,http://www.construtoraelos.com/,elos@construtoraelos.com.br,(85) 3267-7288,CE,,base_original
Empresa,http://www.construtoraengeterra.com/,engenharia@construtoraengeterra.com,(85) 3472-1674,CE,,base_original
,http://www.jsimoes.com.br/,,(85) 3133-4058,CE,,base_original
,http://www.cmarte.com.br/,,,CE,,base_original
,http://www.construtoramontenegro.com.br/,,(85) 3252-2081,CE,,base_original
Empresa,http://www.cmveng.com.br/,trabalheconosco@cmveng.com.br,,CE,,base_original
Empresa,http://www.passarelli.com.br/,sac@passarelli.com.br,(11) 3037-8400,CE,,base_original
,http://www.projecconstrutora.com.br/,,,CE,,base_original
,http://www.reata.com.br/,,(85) 3105-8000,CE,,base_original
Empresa,http://www.construtorasamaria.com.br/,contato@construtorasamaria.com.br,(85) 3474-1788,CE,,base_original
Empresa,http://www.construtoratriade.com.br/,jorge@construtoratriade.com.br,(85) 3271-2354,CE,,base_original
Empresa,http://www.crcoelho.com.br/,crc.jua@crcoelho.com.br,(88) 8802-0746,CE,,base_original
,http://www.jbmconstrutora.com.br/,,,CE,,base_original
,http://www.morefacil.com.br/,,(85) 3273-5244,CE,,base_original
,http://www.redeaconstrutora.com.br/,,,CE,,base_original
Empresa,http://www.tecnisa.com.br/,relacionamento@tecnisa.com.br,(11) 3708-1010,DF,,base_original
Empresa,http://www.agataconstrutora.com.br/,vendas@agataconstrutora.com.br,(27) 3225-2411,ES,,base_original
,http://www.barbosabarros.com.br/,,(27) 3389-6009,ES,,base_original
,http://www.cbcconstrutora.com.br/,,,ES,,base_original
Empresa,http://www.abaurre.com.br/,abaurre@abaurre.com.br,(27) 3325-3544,ES,,base_original
,http://www.construtoraarpa.com.br/,,(27) 3721-4444,ES,,base_original
,http://www.construtoracapitania.com.br/,,(27) 3201-6999,ES,,base_original
