nome,telefone,email,site,estado,cidade
,71 4111-2333,,construtorabauhaus.com.br,BA,
,75 3281-3645,atendimento@coinpe.com.br,coinpe.com.br,BA,
,71 3243-0913,contato@barcinoesteve.com.br,barcinoesteve.com.br,BA,
,79 3216-5000,relacionamento@celi.com.br,celi.com.br,BA,
,71 3336-2286,hugo.planejamento@espacor2.com.br,espacor2.com.br,BA,
,71 3367-9949,farol.construcao@gmail.com,construtorafarol.com.br,BA,
,71 3507-2555,,cflconstrutora.com.br,BA,
,71 3450-3674,contato@construtoramodulo.com.br,construtoramodulo.com.br,BA,
,71 3344-2005,,construtoralink.com.br,BA,
,71 3306-7131,cnm@construtoranm.com.br,construtoranm.com.br,BA,
,73 3288-1545,,construtoraouteiro.com.br,BA,
,71 3245-8488,construtorapablo@construtorapablo.com.br,construtorapablo.com.br,BA,
,71 3355-6666,,costaandrade.com.br,BA,
,71 3082-3082,contato@cplconstrutora.com.br,cplconstrutora.com.br,BA,
,71 3362-3393,ctl-ssa@uol.com.br,ctlssa.com.br,BA,
,71 3594-2250,dipawa@dipawa.com.br,dipawa.com.br,BA,
,71 3328-4444,falcao@falcaoconstrutora.com.br,falcaoconstrutora.com.br,BA,
,71 3272-2377,,mvsconstrutora.com.br,BA,
,(85) 3251-1414,,http://www.acopi.com.br/,CE,
,(85) 3264-9272,,http://www.bm.eng.br/,CE,
,(85) 4008-6969,,http://www.carneirodemelo.com.br/,CE,
,(85) 3224-4576,,http://www.coigma.com.br/,CE,
,(85) 3288-6600,receber@colmeia.com.br,http://www.colmeia.com.br/,CE,
,(85) 3260-4006,atendimento@construtoradube.com.br,http://www.construtoradube.com.br/,CE,
,(85) 3077-7800,exata@exataconstrutora.com.br,http://www.exataconstrutora.com.br/,CE,
,(85) 3267-7288,elos@construtoraelos.com.br,http://www.construtoraelos.com/,CE,
,(85) 3472-1674,engenharia@construtoraengeterra.com,http://www.construtoraengeterra.com/,CE,
,(85) 3133-4058,,http://www.jsimoes.com.br/,CE,
,(85) 3252-2081,,http://www.construtoramontenegro.com.br/,CE,
,(11) 3037-8400,sac@passarelli.com.br,http://www.passarelli.com.br/,CE,
,(85) 3105-8000,,http://www.reata.com.br/,CE,
,(85) 3474-1788,contato@construtorasamaria.com.br,http://www.construtorasamaria.com.br/,CE,
,(85) 3271-2354,jorge@construtoratriade.com.br,http://www.construtoratriade.com.br/,CE,
,(88) 8802-0746,crc.jua@crcoelho.com.br,http://www.crcoelho.com.br/,CE,
,(85) 3273-5244,,http://www.morefacil.com.br/,CE,
,(11) 3708-1010,relacionamento@tecnisa.com.br,http://www.tecnisa.com.br/,DF,
,(27) 3225-2411,vendas@agataconstrutora.com.br,http://www.agataconstrutora.com.br/,ES,
,(27) 3389-6009,,http://www.barbosabarros.com.br/,ES,
,(27) 3325-3544,abaurre@abaurre.com.br,http://www.abaurre.com.br/,ES,
,(27) 3721-4444,,http://www.construtoraarpa.com.br/,ES,
,(27) 3201-6999,,http://www.construtoracapitania.com.br/,ES,
,(27) 99583-4432,contato@construtoraepura.com,http://www.construtoraepura.com/,ES,
,(27) 3721-6561,construtorapj@construtorapj.com.br,http://www.construtorapj.com.br/,ES,
,(27) 3205-7200,relacionamento@sacavalcante.com.br,http://www.sacavalcante.com.br/,ES,
,(27) 3262-5668,contato@smconstrutora.com.br,http://www.smconstrutora.com.br/,ES,
,(27) 3325-6565,,http://www.vigaconstrutora.com.br/,ES,
,(27) 3315-7145,,http://www.francavilla.com.br/,ES,
,(27) 3200-4004,,http://www.galwan.com.br/,ES,
,(27) 3077-1414,contato@javeconstrutora.com.br,http://www.javeconstrutora.com.br/,ES,
,(27) 2123-7700,marcaambiental@marcaambiental.com.br,http://www.marcaambiental.com.br/,ES,
,(27) 3357-1099,contato@mazzinigomes.com.br,http://www.mazzinigomes.com.br/,ES,
,(27) 3314-1500,atendimento@morar.com.br,http://www.morar.com/,ES,
,(31) 3225-1466,,http://www.sfranco.com.br/,ES,
,(27) 3225-5444,engenharia@signusconstrutora.com.br,http://www.signusconstrutora.com.br/,ES,
,(27) 3314-1491,contato@tmaconstrutora.com.br,http://www.tmaconstrutora.com.br/,ES,
,(27) 3361-0050,vargas@vargasconstrutora.com.br,http://www.vargasconstrutora.com.br/,ES,
,(62) 3091-2131,contato@abacoconstrutora.com.br,http://www.abacoconstrutora.com.br/,GO,
,(62) 3931-0057,contato@calengenharia.com.br,http://www.calengenharia.com.br/,GO,
,(62) 99991-4659,dho@consciente.com.br,http://www.conscienteconstrutora.com.br/,GO,
,(62) 3311-1000,contato@construinvest.com.br,http://www.construinvest.com.br/,GO,
,(62) 3920-5100,contato@aguasantaconstrutora.com.br,http://www.aguasantaconstrutora.com.br/,GO,
,(62) 3281-0108,gerencia@construtoracampos.com.br,http://www.construtoracampos.com.br/,GO,
,(62) 3546-9000,po@ccbconstrutora.com.br,http://www.ccbconstrutora.com.br/,GO,
,(62) 3157-0267,recepcao@merzian.com.br,http://www.merzian.com.br/,GO,
,(62) 3216-4272,cmocomvoce@cmoconstrutora.com.br,http://www.cmoconstrutora.com.br/,GO,
,(62) 3945-2444,sac@romanobarbosa.com.br,http://www.romanobarbosa.com.br/,GO,
,(62) 3092-6852,contato@construtoraserragrande.com.br,http://www.construtoraserragrande.com.br/,GO,
,(99) 3015-0101,contato@engefortconstrutora.com.br,http://www.engefortnet.com.br/,GO,
,(62) 3991-6113,contato@grupoepoca.com,http://www.epocaconstrutora.com.br/,GO,
,(62) 3412-2200,ouvidoria@consorciogovesa.com.br,http://www.govesa.ind.br/,GO,
,(62) 99969-7532,contato@himalaia.net.br,http://www.himalaia.net.br/,GO,
,(62) 4006-2600,innovar@innovarconstrutora.com.br,http://www.innovarconstrutora.com.br/,GO,
,(62) 3626-5254,adm@jl2engenharia.com.br,http://www.jl2construtora.com.br/,GO,
,(62) 3703-0510,contato@lugasa.com.br,http://www.lugasa.com.br/,GO,
,(62) 3594-6005,engenharia@mpaconstrutora.com.br,http://www.mpaconstrutora.com.br/,GO,
,(62) 99844-4009,atendimento@rodriguesdacunha.com.br,http://www.rodriguesdacunha.com.br/,GO,
,(62) 3932-5532,,http://www.teccril.com.br/,GO,
,(62) 98160-0202,,http://www.tripoliconstrutora.com.br/,GO,
,(31) 3286-2493,,http://www.bmgconstrutora.com.br/,Belo Horizonte,
,(31) 4009-7000,,http://www.caparao.com.br/,Belo Horizonte,
,(31) 3222-4295,casagrande@construtoracasagrande.com.br,http://www.construtoracasagrande.com.br/,Belo Horizonte,
,(31) 3078-8600; (31) 3078-8688,,http://www.construtoracastor.com.br/,Belo Horizonte,
,(38) 3222-5434; (38) 3214-1044,contato@connage.com.br,http://www.connage.com.br/,Montes Claros,
,(31) 3274-6229; (31) 3274-6231,,http://www.cunharibeiro.com.br/,Belo Horizonte,
,(31) 3234-2362,,http://www.construtoradh.com.br/,Belo Horizonte,
,(31) 3324-9733,comercial@dinizcamargos.com.br,http://www.dinizcamargos.com.br/,Belo Horizonte,
,(38) 3054-7327,grupoparaopeba@grupoparaopeba.com.br,http://www.grupoparaopeba.com.br/,Itabirito,
,(31) 3852-4660; (31) 3852-3102,licitacao@ferreirajunior.eng.br,http://www.ferreirajunior.eng.br/,João Monlevade,
,(31) 3295-0105,,http://www.jcampara.com.br/,Belo Horizonte,
,(31) 99978-3506; (31) 3245-0859,jcarvalho@construtorajcarvalho.com,http://www.construtorajcarvalho.com/,Belo Horizonte,
,(31) 3273-8048,reformas@construtorajatoclean.com.br,http://www.construtorajatoclean.com.br/,Belo Horizonte,
,(31) 3499-1900,marins@construtoramarins.com.br,http://www.construtoramarins.com.br/,Belo Horizonte,
,(31) 97575-5536; (31) 2513-7550,marka.serv@outlook.com; comercial@markaservicos.com.br,http://www.construtoramarka.com.br/,Belo Horizonte,
,(31) 3396-5185,,http://www.construtoramilionario.com.br/,Contagem,
,(31) 3241-1030,,http://www.cmcsa.com.br/,Belo Horizonte,
,(32) 98457-2792; (32) 3236-1976,ariapubmkt@gmail.com,http://www.construtoranortesul.com.br/,Juiz de Fora,
,(37) 3221-5868,,http://www.oliveirasouki.com.br/,Divinópolis,
,(37) 3221-8332,,http://www.construtorapardini.com.br/,Divinópolis,
,(31) 3469-3000,sac@construtoraplano.com.br; contato@construtoraplano.com.br,http://www.construtoraplano.com.br/,Belo Horizonte,
,(31) 3571-1155; (38) 9290-3293,pontal@construtorapontal.com.br,http://www.construtorapontal.com.br/,Brumadinho,
,(31) 3852-3234; (31) 3852-5559; (31) 99595-3235; (31) 99910-6973,pontesdeminas@construtorapontesdeminas.com.br; compras@construtorapontesdeminas.com.br; rh@construtorapontesdeminas.com.br,http://www.grupopontesbrasil.com.br/,João Monlevade,
,(31) 3848-1770,vendas@construtorapremier.com.br,http://www.construtorapremier.com.br/,Timóteo,
,(31) 2555-0223,marialuiza@construtoraqbhz.com.br,http://www.construtoraqbhz.com.br/,Belo Horizonte,
,(31) 3024-3482,cqualidade@globo.com,http://www.construtoraqualidade.com.br/,Belo Horizonte,
,(31) 3364-7000; (17) 4225-1949; (17) 4225-1943,,http://www.construtorasaba.com.br/,MG,
,(31) 2125-2563; (16) 6248-6163; (16) 5712-9643,comercial@gruposantanna.com.br,http://www.construtorasantanna.com.br/,MG,
,(31) 99587-9897; (17) 8077-4502,contato@morrograndeconstrutora.com.br,http://www.morrograndeconstrutora.com.br/,MG,
,(31) 3371-1616; (17) 8062-2084; (17) 4226-0502,,http://www.segenco.com.br/,MG,
,(31) 99955-5958; (31) 2566-5505; (37) 39122-0594,,http://www.construtorasudoeste.com.br/,MG,
,(31) 3484-5443; (31) 3432-0076; (51) 93113-4681,unenco@unenco.com.br,http://www.unenco.com.br/,MG,
,(31) 98319-4757; (45) 58416-1026; (45) 58416-0986,uni@somosauni.com.br,http://www.construtorauni.com.br/,MG,
,(31) 3839-1900; (17) 8058-9390; (17) 8058-9536,contato@cvvsa.com.br,http://www.construtoravaleverde.com.br/,MG,
,(17) 2384-5056; (17) 3090-8448; (11) 75644-1605,,http://www.valleribeiro.com.br/,MG,
,(21) 4748-3647; (91) 6666-6667; (66) 6666-6667,,http://www.construtoravig.com.br/,MG,
,(32) 3215-3022; (53) 29905-3022; (17) 4286-5628,,http://www.waomar.com.br/,MG,
,(31) 3221-1366; (31) 3825-6080; (31) 3801-1550,,http://www.convaco.com.br/,MG,
,(31) 3241-2103; (17) 8073-9908; (17) 4826-3495,contato@grupocros.com.br,http://www.crosltda.com.br/,MG,
,(31) 3491-3332,,http://www.ebate.com.br/,MG,
,(17) 8061-2451; (17) 8061-1059; (17) 8076-0955,efconstrutora2022@gmail.com,http://www.efconstrutora.com.br/,MG,
,(31) 99609-1982; (17) 8043-2489; (17) 8077-4597,,http://www.engetecno.com.br/,MG,
,(93) 40999-9996; (64) 50000-0004; (49) 96736-8907,,http://www.even.com.br/,MG,
,(34) 3224-0562,vendas@futuraconstrutora.com,http://www.futuraconstrutora.com/,MG,
,(31) 21495-1497; (18) 9945-2064; (18) 4046-1329,garcapocos@garcapocos.com.br,http://www.garcapocos.com.br/,MG,
,(19) 90977-4601; (19) 90976-0589,,http://www.horizonteconstrutora.com.br/,MG,
,(35) 98855-6714; (35) 3471-2146; (17) 8072-2069,contato@jcostaconstrutora.com.br,http://www.jcostaconstrutora.com.br/,MG,
,(35) 98858-0019; (44) 58283-9943; (17) 8076-5498,,http://www.jlr.com.br/,MG,
,(31) 3378-4554; (31) 3225-2111; (31) 99631-4282,,http://www.mcfconstrutora.com.br/,MG,
,(31) 3824-6666,,http://www.montbrosconstrutora.com.br/,MG,
,(81) 86415-4728; (53) 20055-2863; (61) 94729-7406,vendas@privilegeconstrutora.com.br,http://www.privilegeconstrutora.com.br/,MG,
,(34) 3338-0037; (34) 98407-6994; (17) 7859-2558,contato@thifeconstrutora.com.br,http://www.thifeconstrutora.com.br/,MG,
,(31) 98451-9004; (31) 3332-8011,,http://www.trenaconstrutora.com.br/,MG,
,(34) 98803-4272; (17) 4223-1546; (17) 4223-1547,,http://www.varconstrutora.com.br/,MG,
,(81) 3432-6966,,http://www.almeidacamargo.eng.br/,PE,
,(81) 3251-4210,,http://www.ca3construtora.com.br/,PE,
,(81) 99218-1712,cnc@castronevesconstrutora.com.br,http://www.castronevesconstrutora.com.br/,PE,
,(81) 3242-4488,col.engenharia@gmail.com,http://www.colengenharia.com.br/,PE,
,(81) 3465-8033,conlar@conlar.com,http://www.conlarconstrutora.com.br/,PE,
,(81) 3366-1155,,http://www.accruz.com.br/,PE,
,(81) 3226-3856,sac@baptistaleal.com.br,http://www.baptistaleal.com.br/,PE,
,(81) 3228-5555,carajas@construtoracarajas.com.br,http://www.construtoracarajas.com.br/,PE,
,(81) 3231-1703,,http://www.carrilho.com.br/,PE,
,(81) 3327-1953,rh@construtoracasaalta.com.br,http://www.construtoracasaalta.com.br/,PE,
,(81) 3073-0700,viviane@construtoradallas.com.br,http://www.construtoradallas.com.br/,PE,
,(81) 3445-2090,,http://www.correiaepeixoto.com.br/,PE,
,(81) 3423-5788,nassau@nassauflex.com.br,http://www.nassauflex.com.br/,PE,
,(81) 3341-5589,,http://www.construtoraeldorado.com.br/,PE,
,(81) 3471-8288,cfama@elogica.com.br,http://www.construtorafama.com.br/,PE,
,(81) 3493-0806,,http://www.construtoraholanda.com.br/,PE,
,(81) 3423-5006,construtora@machadoguimaraes.com.br,http://www.machadoguimaraes.com.br/,PE,
,(81) 3038-7300,ribeirolopes@outlook.com,http://www.ribeirolopes.com.br/,PE,
,(81) 3466-1485,atendimento@construtorasantoantonio.com.br,http://www.construtorasantoantonio.com.br/,PE,
,(87) 3866-8900,,http://www.grupovenancio.com.br/,PE,
,(44)3263-7873,aleports@hotmail.com,http://www.aguiconstrutora.com.br/,PR,
,(49) 99912-7972,orcamento@amagoconstrutora.com.br,http://www.amagoconstrutora.com.br/,PR,
,(21) 2593-4015,atual.construtora@bol.com.br,http://www.atualconstrutora.com.br/,PR,
,(41) 98861-0590,,http://www.cardosoconstrutora.com.br/,PR,
,(17) 98126-0710,,http://www.construtorauniao.com.br/,PR,
,1875014570 | 1875114570,,http://www.joharc.com.br/,PR,
,(41) 3382-2449 | 11778172276,,http://www.juncao.ind.br/,PR,
,1780775279 | 1780775282,contato@construtorajust.com.br | maska@1.5.0 | swiper@6.7.0,http://www.construtorajust.com.br/,PR,
,(42) 3028-6339 | (42) 98405-5441,contato@laar.com.br,http://www.construtoralaar.com.br/,PR,
,4132591800 | 55419918829,,http://www.construtoralaguna.com.br/,PR,
,(44) 3224-1778 | 01010110796,contato@marluc.com.br | welinton@marluc.com.br | wght@100..1000,http://www.marluc.com.br/,PR,
,(41) 2018-5400 | 06766854612,,http://www.monteazul.eng.br/,PR,
,(41) 3027-8351 | 16529813495,,http://www.construtoraparati.com.br/,PR,
,(41) 99954-4537 | 00000000000,core-js-bundle@3.2.1 | focus-within-polyfill@5.0.9 | intl-segmenter@11.7.10,http://www.construtorapatrao.com.br/,PR,
,68085947808,bootstrap@5.2.2,http://www.amarelasinternet.com/,PR,
,(45) 3322-1421 | 45 98405-1511,bootstrap@5.1.2 | contato@rodenge.eng.br | fancybox@3.5.7,http://www.rodenge.eng.br/,PR,
,(41) 3282-4176 | (41) 3423-6565,comercial@serradaprata.com.br,http://www.serradaprata.com.br/,PR,
,(41) 3075-6295 | 00023225876,atendimento@construtorastrobel.com.br | core-js-bundle@3.2.1 | focus-within-polyfill@5.0.9,http://www.construtorastrobel.com.br/,PR,
,41 3284-1009 | 41 3284-1212,construtorasustentare@construtorasustentare.com.br,http://www.construtorasustentare.com.br/,PR,
,(45) 3223-2586 | (45)99220034,,http://www.construtoraviverbem.com.br/,PR,
,(45) 3264-1526 | 15092022120,sac@construtorazanela.com.br,http://www.construtorazanella.com.br/,PR,
,(41) 3339-0718 | 11 5535-7314,dang@dangconstrutora.com.br,http://www.dangconstrutora.com.br/,PR,
,(41) 3037-2303 | 1001136450,contato@construtoragenova.com.br | rh@construtoragenova.com.br | suprimentos@construtoragenova.com.br,http://www.construtoragenova.com.br/,PR,
,(41) 99707-5000 | 15814492521,maxima@construtoramaxima.com.br,http://www.hagaconstrutora.com.br/,PR,
,(41) 3273-1212 | (41) 99800-3338,contato@ksnconstrutora.com.br,http://www.ksnconstrutora.com.br/,PR,
,(41) 99993-4601 | 14192680586,contato@sconntec.com.br | otavio@sconntec.com.br,http://www.sconntec.com/,PR,
,(41) 3376-2058 | (41) 97400-7656,engenharia@thalassa.com.br,http://www.thalassa.com.br/,PR,
,(51) 99464-1092,,http://www.albarus.com.br/,RJ,
,(81) 3322-7157,contato@azevedocastro.com.br,http://www.azevedocastro.com.br/,RJ,
,(21) 97184-8259,contato@doisl.com.br,http://www.doisl.com.br/,RJ,
,(27) 99947-8233; (27) 99312-7531; (27) 98889-5878; (27) 99578-0500,contato@dr.eng.br; rh@dr.eng.br; administrativo@dr.eng.br,http://www.drconstrutora.com.br/,RJ,
,(21) 2532-1371; (21) 2532-3171; (21) 3079-9311,,http://www.construtorazermatt.com.br/,RJ,
