empresa,segmento,cidade,uf,email,site,origem
Direcional Engenharia (#1 Ranking),Construtora,Belo Horizonte,MG,ri@direcional.com.br,https://www.direcional.com.br/,Ranking INTEC + Web
Pacaembu Construtora (#2 Ranking),Construtora,São Paulo,SP,,,Ranking INTEC
MPD Engenharia (#3 Ranking),Engenharia,Barueri,SP,contato@mpd.com.br,,Ranking INTEC + Web
Grupo Plaenge (#4 Ranking),Construtora/Incorporadora,Curitiba,PR,,,Ranking INTEC
Cury Construtora (#5 Ranking),Construtora,São Paulo,SP,contatos@curycostrutora.net,,Ranking INTEC + Web
Construtora Tenda (#6 Ranking),Construtora,São Paulo,SP,,https://www.tenda.com/,Ranking INTEC
BRNPar Incorporações (#7 Ranking),Incorporadora,São Paulo,SP,,,Ranking INTEC
Construtora JL (#8 Ranking),Construtora,Curitiba,PR,leonardo.junior@construtorajl.com,,Ranking INTEC + LinkedIn
FG Empreendimentos (#9 Ranking),Incorporadora,Balneário Camboriú,SC,,,Ranking INTEC
Moura Dubeux (#10 Ranking),Engenharia/Incorporadora,Recife,PE,faleconosco@mouradubeux.com.br,https://www.mouradubeux.com.br/,Ranking INTEC + Expoimovel
Plano & Plano (#11 Ranking),Construtora,São Paulo,SP,,,Ranking INTEC
Diase Construtora (#12 Ranking),Construtora,,,,,Ranking INTEC
Diálogo Engenharia (#13 Ranking),Engenharia,,,,,Ranking INTEC
A.Yoshii Engenharia (#14 Ranking),Engenharia,Londrina,PR,atendimento@ayoshii.com.br,,Ranking INTEC + ReclameAqui
INC Empreendimentos (#15 Ranking),Incorporadora,,,,,Ranking INTEC
Construtora Ribeiro Caram (#16 Ranking),Construtora,,,,,Ranking INTEC
Construtora Sousa Araújo (#17 Ranking),Construtora,,,,,Ranking INTEC
EBM Desenvolvimento Imobiliário (#18 Ranking),Incorporadora,,,,,Ranking INTEC
Econ Construtora (#19 Ranking),Construtora,,,,,Ranking INTEC
Toledo Ferrari (#20 Ranking),Construtora,,,,,Ranking INTEC
Trisul,Construtora/Incorporadora,São Paulo,SP,sac@trisul-sa.com.br,https://www.trisul-sa.com.br/,Expoimovel
Cyrela Brazil Realty,Incorporadora,São Paulo,SP,atendonlinerecife@cyrela.com.br,https://www.cyrela.com.br/,Expoimovel
GAFISA,Construtora/Incorporadora,São Paulo,SP,relacionamento@gafisa.com.br,,Web
Rossi Residencial,Incorporadora,São Paulo,SP,fabiofranco@rossiresidencial.com.br,,Expoimovel
MRV Engenharia,Construtora/Incorporadora,Belo Horizonte,MG,,https://www.mrv.com.br/,Expoimovel
SETIN Incorporadora,Incorporadora,São Paulo,SP,,https://www.setin.com.br/,Web
TPA Empreendimentos,Construtora/Incorporadora,São Paulo,SP,,https://tpaempreendimentos.com.br/,Web
Unicos Incorporadora,Incorporadora,São Paulo,SP,,https://unicosincorporadora.com.br/,Web
Nova SP INC,Incorporadora,São Paulo,SP,,https://www.novaspinc.com.br/,Web
MBigucci Construtora,Construtora,,SP,,https://mbigucci.com.br/,Web
Racional Engenharia,Engenharia,São Paulo,SP,,https://racional.com/,Web
Fratta Construtora,Construtora/Incorporadora,São Paulo,SP,sac@fratta.com.br,https://www.fratta.com.br/,Web
REM Construtora,Construtora,São Paulo,SP,dpo@remconstrutora.com.br,https://remconstrutora.com.br/,Scrape
Anson S.A. Engenharia de Fundações,Engenharia,Itapevi,SP,comercial@anson.com.br,anson.com.br,Scribd
Bencen Engenharia e Com. Ltda,Engenharia,São Bernardo do Campo,SP,sac@bencen.com.br,bencen.com.br,Scribd
Azevedo & Travassos Engenharia,Engenharia,São Paulo,SP,azevedo@azevedotravassos.com.br,azevedotravassos.com.br,Scribd
Construtora Rio Branco,Construtora,São Paulo,SP,,https://www.construtorariobranco.com.br/,Web
Magnum Construtora,Construtora,Sorocaba,SP,,https://www.magnumconstrutora.com.br/,Web
Construtora Planeta,Construtora,,SP,,https://www.construtoraplaneta.com.br/,Web
Construtora Silva Campos,Construtora,,,,https://www.construtorasilvacampos.com.br/,Web
Odebrecht Engenharia & Construção,Engenharia,Rio de Janeiro,RJ,,https://www.odebrecht.com/,Web
Brookfield Incorporações,Incorporadora,Rio de Janeiro,RJ,,,Expoimovel RJ
Construtora Barbosa Mello,Construtora,Rio de Janeiro,RJ,caio.inbox@cbmsa.com.br,,Expoimovel RJ + Web
SEEL Engenharia,Engenharia,Rio de Janeiro,RJ,,https://seel.com.br/,Web
Carioca Engenharia,Engenharia,Rio de Janeiro,RJ,,https://cariocaengenharia.com.br/,Web
Construtora Calçada,Construtora,Rio de Janeiro,RJ,,,Expoimovel RJ
Construtora Caparaó,Construtora,Belo Horizonte,MG,,,Expoimovel MG
Construtora Diniz Camargos Ltda,Construtora,Belo Horizonte,MG,,,Expoimovel MG
Construtora Vesper,Construtora,Belo Horizonte,MG,,,Expoimovel MG
Empresa Construtora Brasil S.A.,Construtora,Belo Horizonte,MG,,,Web
Construtora Bela Vista,Construtora,Curitiba,PR,,,Expoimovel PR
Construtora Veloso,Construtora,Curitiba,PR,,,Expoimovel PR
